dum,t,solar,wind
856,856,0.22126,0.631033195
857,857,0.17946,0.464099585
858,858,0.1248,0.369257261
859,859,0.18182,0.291215768
860,860,0,0.092672199
861,861,0,0.071390041
862,862,0,0.228506224
863,863,0,0.328082988
864,864,0,0.4073361
865,865,0,0.415937759
866,866,0,0.085655602
867,867,0,0.043622407
868,868,0,0.081174274
869,869,0,0.078639004
870,870,0,0.107278008
871,871,0,0.121659751
872,872,0,0.187593361
873,873,0,0.259452282
874,874,0.39942,0.23659751
875,875,0.76472,0.154647303
876,876,0.87966,0.381224066
877,877,0.91784,0.788481328
878,878,0.89566,0.82160166
879,879,0.85672,0.817688797
880,880,0.92902,0.820871369
881,881,0.861,0.822539419
882,882,0.70732,0.772497925
883,883,0.27934,0.633170124
884,884,0,0.329983402
885,885,0,0.26219917
886,886,0,0.560804979
887,887,0,0.74026971
888,888,0,0.819991701
889,889,0,0.821863071
890,890,0,0.822522822
891,891,0,0.822879668
892,892,0,0.823112033
893,893,0,0.822219917
894,894,0,0.817962656
895,895,0,0.823012448
896,896,0,0.822568465
897,897,0,0.822829876
898,898,0.34584,0.817373444
899,899,0.662,0.549141079
900,900,0.78104,0.500356846
901,901,0.84088,0.360506224
902,902,0.82124,0.211726141
903,903,0.83786,0.071929461
904,904,0.87804,0.007746888
905,905,0.84122,0.000103734
906,906,0.7007,0
907,907,0.32422,0.003746888
908,908,0,0.010248963
909,909,0,0.019307054
910,910,0,0.019676349
911,911,0,0.153676349
912,912,0,0.186460581
913,913,0,0.216651452
914,914,0,0.240116183
915,915,0,0.265717842
916,916,0,0.266352697
917,917,0,0.265103734
918,918,0,0.265680498
919,919,0,0.249543568
920,920,0,0.223589212
921,921,0,0.256033195
922,922,0.32734,0.178041494
923,923,0.72866,0.071950207
924,924,0.80038,0.192485477
925,925,0.84824,0.14766805
926,926,0.86132,0.069946058
927,927,0.89118,0.053190871
928,928,0.78022,0.060294606
929,929,0.8138,0.107883817
930,930,0.84332,0.120327801
931,931,0.36404,0.194871369
932,932,0,0.326232365
933,933,0,0.403709544
934,934,0,0.434589212
935,935,0,0.486692946
936,936,0,0.490518672
937,937,0,0.933834025
938,938,0,0.934161826
939,939,0,0.934124481
940,940,0,0.920639004
941,941,0,0.934161826
942,942,0,0.933966805
943,943,0,0.934244813
944,944,0,0.934311203
945,945,0,0.933506224
946,946,0.03046,0.922605809
947,947,0.14704,0.907489627
948,948,0.22462,0.787190871
949,949,0.83828,0.490473029
950,950,0.79456,0.509580913
951,951,0.81864,0.698452282
952,952,0.7884,0.379095436
953,953,0.78534,0.161224066
954,954,0.65346,0.092008299
955,955,0.32248,0.062224066
956,956,0,0.068941909
957,957,0,0.026120332
958,958,0,0.026029046
959,959,0,0.058721992
960,960,0,0.00326971
961,961,0,0.235182573
962,962,0,0.645381743
963,963,0,0.673070539
964,964,0,0.867763485
965,965,0,0.842037344
966,966,0,0.832477178
967,967,0,0.706593361
968,968,0,0.824377593
969,969,0,0.90339834
970,970,0.02266,0.873053942
971,971,0.11666,0.870950207
972,972,0.13896,0.710178423
973,973,0.3237,0.311572614
974,974,0.2372,0.427344398
975,975,0.32798,0.508556017
976,976,0.75308,0.620502075
977,977,0.7613,0.502564315
978,978,0.68254,0.338605809
979,979,0.3814,0.394373444
980,980,0,0.325352697
981,981,0,0.284572614
982,982,0,0.288854772
983,983,0,0.345037344
984,984,0,0.344618257
985,985,0,0.424419087
986,986,0,0.419767635
987,987,0,0.519427386
988,988,0,0.492041494
989,989,0,0.770921162
990,990,0,0.76826971
991,991,0,0.832692946
992,992,0,0.854489627
993,993,0,0.839298755
994,994,0,0.889850622
